Average_End-To-End Throughput Average_Distance_Travelled Number_of_Delivered Number_of_Dropped_packets Number_of_Re-requested_packets Number_of_packets_Arrived_more_than_once Number_of_Nodes Measurement_Time Buffer_size Number_of_Packets_arrived_to_the_system Packet_Time_limit
2.2 0.014985014985014986 2.466666666666667 15 0 0 0 50 1001 10 4666 20

2.263157894736842 0.01898101898101898 3.526315789473684 19 0 0 0 50 1001 10 4770 20

2.076923076923077 0.012987012987012988 3.769230769230769 13 0 0 0 50 1001 10 4864 20

2.9411764705882355 0.016983016983016984 3.588235294117647 17 0 0 0 50 1001 10 4968 20

2.2142857142857144 0.013986013986013986 3.2142857142857144 14 0 0 0 50 1001 10 5074 20

2.9047619047619047 0.02097902097902098 2.6666666666666665 21 1 1 0 50 1001 10 5176 20

1.7692307692307692 0.012987012987012988 2.4615384615384617 13 0 0 0 50 1001 10 5270 20

2.933333333333333 0.014985014985014986 2.4 15 0 0 0 50 1001 10 5382 20

2.6666666666666665 0.008991008991008992 2.4444444444444446 9 0 0 0 50 1001 10 5458 20

1.8125 0.015984015984015984 2.6875 16 0 0 0 50 1001 10 5568 20

2.0 0.012987012987012988 3.1538461538461537 13 0 0 0 50 1001 10 5678 20

3.125 0.007992007992007992 2.625 8 0 0 0 50 1001 10 5744 20

2.0833333333333335 0.011988011988011988 2.5833333333333335 12 0 0 0 50 1001 10 5871 20

1.9230769230769231 0.012987012987012988 2.4615384615384617 13 0 0 0 50 1001 10 5969 20

1.875 0.007992007992007992 3.375 8 0 0 0 50 1001 10 6050 20

2.0 0.006993006993006993 2.7142857142857144 7 0 0 0 50 1001 10 6169 20

2.611111111111111 0.017982017982017984 3.888888888888889 18 0 0 0 50 1001 10 6279 20

1.8333333333333333 0.005994005994005994 2.1666666666666665 6 0 0 0 50 1001 10 6351 20

2.0 0.002997002997002997 3.3333333333333335 3 0 0 0 50 1001 10 6457 20

2.65 0.01998001998001998 3.05 20 0 0 0 50 1001 10 6572 20

2.0 0.004995004995004995 3.4 5 0 0 0 50 1001 10 6658 20

1.875 0.007992007992007992 2.375 8 0 0 0 50 1001 10 6760 20

1.8333333333333333 0.011988011988011988 2.6666666666666665 12 0 0 0 50 1001 10 6862 20

1.7692307692307692 0.012987012987012988 2.5384615384615383 13 0 0 0 50 1001 10 6958 20

2.3333333333333335 0.008991008991008992 2.7777777777777777 9 0 0 0 50 1001 10 7062 20

2.7777777777777777 0.008991008991008992 3.6666666666666665 9 0 0 0 50 1001 10 7165 20

2.0714285714285716 0.013986013986013986 2.5 14 0 0 0 50 1001 10 7259 20

1.8888888888888888 0.008991008991008992 2.7777777777777777 9 0 0 0 50 1001 10 7362 20

2.0 0.007992007992007992 2.75 8 0 0 0 50 1001 10 7457 20

3.0 0.00999000999000999 3.7 10 0 0 0 50 1001 10 7554 20

1.6666666666666667 0.005994005994005994 2.6666666666666665 6 0 0 0 50 1001 10 7660 20

2.6666666666666665 0.008991008991008992 2.7777777777777777 9 0 0 0 50 1001 10 7742 20

2.0 0.01898101898101898 2.9473684210526314 19 0 0 0 50 1001 10 7868 20

2.2666666666666666 0.014985014985014986 3.6 15 0 0 0 50 1001 10 7976 20

2.4705882352941178 0.016983016983016984 2.9411764705882355 17 0 0 0 50 1001 10 8082 20

2.7058823529411766 0.016983016983016984 3.2941176470588234 17 0 0 0 50 1001 10 8160 20

1.4 0.004995004995004995 2.2 5 0 0 0 50 1001 10 8253 20

2.4 0.014985014985014986 3.6666666666666665 15 0 0 0 50 1001 10 8351 20

1.6666666666666667 0.011988011988011988 2.4166666666666665 12 0 0 0 50 1001 10 8454 20

1.8181818181818181 0.01098901098901099 2.4545454545454546 11 0 0 0 50 1001 10 8559 20

1.5 0.015984015984015984 2.625 16 0 0 0 50 1001 10 8658 20

2.1818181818181817 0.01098901098901099 3.1818181818181817 11 0 0 0 50 1001 10 8749 20

1.5454545454545454 0.01098901098901099 2.4545454545454546 11 0 0 0 50 1001 10 8860 20

2.2 0.004995004995004995 2.8 5 0 0 0 50 1001 10 8960 20

1.7 0.00999000999000999 3.0 10 0 0 0 50 1001 10 9063 20

2.0 0.011988011988011988 2.8333333333333335 12 0 0 0 50 1001 10 9166 20

1.7 0.00999000999000999 2.3 10 0 0 0 50 1001 10 9272 20

2.111111111111111 0.017982017982017984 3.2777777777777777 18 0 0 0 50 1001 10 9358 20

1.5 0.005994005994005994 2.0 6 0 0 0 50 1001 10 9471 20

3.0 0.007992007992007992 3.25 8 0 0 0 50 1001 10 9569 20

1.5714285714285714 0.006993006993006993 2.142857142857143 7 0 0 0 50 1001 10 9667 20

1.7142857142857142 0.006993006993006993 2.0 7 0 0 0 50 1001 10 9765 20
